"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "18. saade (26.08.2017): mis tunne on olla ekshibitsionist?" ; 929 ; 0 ; 1 ; 0
"Reisikaja" ; 86 ; 18
;;; "Reisikaja 18. saade. Aive Ja Andrus Hiiepuu oma põnevast reisist Iraani, Omaani, Kuveiti ja Dubaisse" ; 0 ; 0 ; 0 ; 0
;;; "Reisikaja 17. saade. Jaak Roosaare: USA on avastamiseks tohutult mitmekesine paik" ; 339 ; 0 ; 2 ; 1
;;; "Reisikaja 16. saade. Riina Luik: Fääri saared on erakordse loodusega paik" ; 223 ; 0 ; 0 ; 0
;;; "Reisikaja 15. saade. Thea Karin: Tuneesia on imetabane ja intelligentne riik" ; 367 ; 0 ; 2 ; 0
;;; "Reisikaja 14. saade. Neeme Ja Sigrid: Poola on liiga lahe riik, et sellest lihtsalt läbi sõita" ; 315 ; 0 ; 2 ; 0
;;; "Reisikaja 13. saade. Tarrvi Laamann: nii ongi, et jamaicalastel muresid pole" ; 160 ; 0 ; 0 ; 0
;;; "Reisikaja 12. saade. Jane ja Tanel: metsiku loodusega Uganda on kui Aafrika "edasijõudnutele"" ; 201 ; 0 ; 1 ; 0
;;; "Reisikaja 11. saade. Katre Trei- Araabia Ühendemiraadid on kui vastuoluline rahvaste paabel" ; 298 ; 0 ; 2 ; 0
;;; "Reisikaja 10. saade. Rain Resmeldt Uusen- Malta on tõeline jalutaja paradiis" ; 350 ; 0 ; 0 ; 0
;;; "Reisikaja 9. saade. Juhani Särglep- Maldiivid on kui tõeline paradiis, ka seljakotiränduritele" ; 645 ; 0 ; 3 ; 0
;;; "Reisikaja 8. saade. Maria Kupinskaja- Uus-Meremaa ongi nii imeline nagu räägitakse" ; 385 ; 0 ; 1 ; 0
;;; "7. saade Tiit Pruuli Antarktika loodusest, elustikust ning erinevustest Arktikaga" ; 367 ; 0 ; 2 ; 0
;;; "6. saade. Georgi Beltadze- reisist Ukraina rindelinna Mariupolisse" ; 432 ; 0 ; 1 ; 0
;;; "5.saade. Ivo Tšetõrkin- Peruu šamaanidest, Amazonase iseärasustest ja Machu Picchu võlust" ; 327 ; 0 ; 5 ; 0
;;; "4. saade. Helen Adamson- reisiepideemiast ning paljudest eksootilistest retkedest" ; 541 ; 0 ; 3 ; 0
;;; "3. saade. Berit Renser- Indoneesia kontrastidest, võludest ja valudest"
;;; "2. saade. Katrin Tombak- matk Rootsi polaaraladele on kui rännak pooljumalate juurde"
